DATE,Month,Year,CC#,DISTRICT,LOCATION,TYPE,X (LONG),Y (LAT),COORDINATES
1/13/2014 0:00,1,2014,143A00512,ED,1800 E Lanvale St,Shooting,-76.592474,39.30972311,"(39.3097231083, -76.5924739967)"
10/16/2013 0:00,10,2013,134J07730,NED,3800 Mannasota Ave,Shooting,-76.56588781,39.32297873,"(39.3229787344, -76.5658878096)"
9/4/2013 0:00,9,2013,132I01855,SED,200 Spring Ct,Shooting,-76.59764511,39.29369826,"(39.2936982641, -76.5976451125)"
8/13/2013 0:00,8,2013,138H08647,SWD,3400 Old Frederick Rd,Shooting,-76.69198837,39.29014808,"(39.2901480834, -76.6919883658)"
5/25/2013 0:00,5,2013,139E12127,SD,400 S Poppleton St,Shooting,-76.63186398,39.28359282,"(39.2835928182, -76.6318639809)"
4/22/2013 0:00,4,2013,137D10409,WD,2700 Edmondson Ave,Shooting,-76.66151132,39.29456511,"(39.2945651064, -76.6615113213)"
4/18/2013 0:00,4,2013,132D08633,SED,3400 Foster Ave,Shooting,-76.56874899,39.28454487,"(39.2845448684, -76.5687489914)"
3/28/2013 0:00,3,2013,132C12587,SED,6706 Danville Ave,Shooting,-76.52950204,39.27695608,"(39.2769560811, -76.5295020443)"
1/29/2013 0:00,1,2013,136A12790,NWD,5002 Pimlico Rd,Shooting,-76.66930657,39.35014731,"(39.3501473134, -76.6693065652)"
1/28/2013 0:00,1,2013,138A12326,SWD,3300 Edmondson Ave,Shooting,-76.67282146,39.29419721,"(39.2941972073, -76.6728214620)"
1/25/2013 0:00,1,2013,133A11199,ED,500 N Madeira St,Shooting,-76.58581186,39.29700041,"(39.2970004089, -76.5858118569)"
1/13/2013 0:00,1,2013,135A05457,ND,5415 York Rd,Shooting,-76.60986389,39.35614752,"(39.3561475240, -76.6098638869)"
1/2/2013 0:00,1,2013,134A00685,NED,3200 Cliftmont Rd,Shooting,-76.57371762,39.31899782,"(39.3189978152, -76.5737176216)"
