"","score","text"
"45",-2,"RT @AAPremlall: ""I’m in a burning building, worried about getting shot."" -@SaulWilliams http://t.co/zXGLP8TjJ7 #BaltimoreRiots #BaltimoreUp…"
"46",0,"RT @ThePatriot143: Only in America #Baltimore #BaltimoreUprising #BaltimoreRiots #BlackOnBlackPolicies http://t.co/0cQO87SyaE"
"47",0,"RT @ThePatriot143: Only in America #Baltimore #BaltimoreUprising #BaltimoreRiots #BlackOnBlackPolicies http://t.co/0cQO87SyaE"
"48",0,"RT @manda_writes: Everyone thinks this picture is cute. I took it, and I think it's tragic. #BaltimoreUprising http://t.co/u7s5h1x2n5 http:…"
"49",0,"RT @ThePatriot143: Only in America #Baltimore #BaltimoreUprising #BaltimoreRiots #BlackOnBlackPolicies http://t.co/0cQO87SyaE"
"50",0,"RT @deray: Remember, this was the headline. We're not the only ones who think he got shot. #BaltimoreUprising http://t.co/qmhUeciQgs"
"51",0,"#baltimore #BaltimoreUprising smh http://t.co/k4CYlm99Hc"
"52",0,"RT @ktanaka13: #BaltimoreUprising http://t.co/5BLvNwWXhh"
"53",0,"RT @deray: And here is a picture that someone just texted me. Penn and North. #BaltimoreUprising http://t.co/9ThwUAbCHG"
"54",1,"Photoset: onevagabond: Solidarity with #BaltimoreUprising from Greece, Sweden, UK, Spain. (via TumbleOn) http://t.co/QpubadcVqf"
"55",0,"RT @truthout: Don't Call It a Curfew: Martial Law in the United States http://t.co/9Shkoggmd9 @Sheeyahshee #BaltimoreUprising"
"56",0,"RT @LeahR77: Hey Al Can You Help Me Out Here?? #WhyImNotVotingForHillary  #BaltimoreUprising #PJNET #ClintonCash http://t.co/ZbcjFgUBgA"
"57",0,"#QoLConference we must measure QoL in U.S. Review policies in Baltimore to educate - train our youth for a life #BaltimoreUprising"
"58",0,"HELP LOCATE  2 TERRORIST = #BaltimoreUprising 
#Baltimore CITY HALL FLAG THEFT/BURN + CVS FIRE STARTER http://t.co/0eauc4XcXn"
"59",-2,"RT @AAPremlall: ""I’m in a burning building, worried about getting shot."" -@SaulWilliams http://t.co/zXGLP8TjJ7 #BaltimoreRiots #BaltimoreUp…"
"60",-1,"RT @blacksnob: The names of those killed by police written on North Charles St. The names went on for blocks. #BaltimoreUprising http://t.c…"
"61",-1,"""Death of Freddie Gray"" #Wikipedia edit by Cwobeel #BaltimoreUprising http://t.co/hVYqgY6hFf"
"62",0,"RT @FreedomForPS: Holy shit... #HungerGames #BaltimoreUprising #Baltimore #MetGala http://t.co/pPhzZcWNtB"
